epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.351,1.12811,3.66002,1.6301,0.00377,0.95833,0.2611,0.16957,0.76975,4.22483,1.53856,0.00011,0.00011,0.00011
2,249.853,0.86464,3.21272,1.42822,0.00403,1,0.24967,0.18189,0.71293,4.08957,1.44232,0.000225446,0.000225446,0.000225446
3,373.224,0.81612,2.89925,1.35876,0.00388,1,0.28377,0.20458,0.81007,3.91403,1.57216,0.00033614,0.00033614,0.00033614
4,497.008,0.82937,2.6492,1.36681,0.50423,0.34092,0.38859,0.29548,0.93501,3.5567,1.72905,0.000442082,0.000442082,0.000442082
5,620.499,0.79656,2.38285,1.32977,0.31102,0.725,0.43733,0.32761,0.77059,3.49241,1.48081,0.000543272,0.000543272,0.000543272
6,744.228,0.78983,2.23984,1.36138,0.53638,0.56053,0.60864,0.50253,0.79561,3.15013,1.50931,0.00063971,0.00063971,0.00063971
7,868.537,0.76094,2.09178,1.35896,0.66229,0.71442,0.71708,0.46142,0.92087,3.47121,1.6485,0.000731396,0.000731396,0.000731396
8,992.773,0.77504,1.96068,1.29984,0.62693,0.61489,0.63846,0.40646,1.26581,3.51037,2.09355,0.00081833,0.00081833,0.00081833
9,1116.69,0.7641,1.82338,1.289,0.89754,0.49714,0.7434,0.46862,0.95275,3.1008,1.75991,0.0008416,0.0008416,0.0008416
10,1240.75,0.83597,1.88801,1.33948,0.76152,0.65891,0.72979,0.52293,0.85791,3.15673,1.74249,0.0008218,0.0008218,0.0008218
11,1364.42,0.78104,1.83435,1.31402,0.36431,0.66656,0.52615,0.37748,0.99666,3.34707,1.67162,0.000802,0.000802,0.000802
12,1488.97,0.75978,1.72966,1.30062,0.84792,0.62051,0.76273,0.56219,0.9947,2.65629,1.68555,0.0007822,0.0007822,0.0007822
13,1613.48,0.85503,1.98265,1.43321,0.91752,0.56858,0.69702,0.53194,0.91117,2.63836,1.6205,0.0007624,0.0007624,0.0007624
14,1737.87,0.69264,1.56688,1.24557,0.9587,0.475,0.68769,0.50707,0.78309,2.50432,1.54639,0.0007426,0.0007426,0.0007426
15,1862.04,0.70878,1.64669,1.26236,0.91551,0.54342,0.78977,0.56746,0.84999,2.35404,1.56539,0.0007228,0.0007228,0.0007228
16,1986.19,0.68056,1.56561,1.23535,0.72174,0.64196,0.75878,0.55206,0.72954,2.19359,1.42398,0.000703,0.000703,0.000703
17,2110.12,0.67968,1.5356,1.22446,0.90099,0.4474,0.659,0.51278,0.87809,2.43656,1.62309,0.0006832,0.0006832,0.0006832
18,2234.36,0.71673,1.52875,1.27094,0.85365,0.60826,0.75861,0.57599,0.81232,2.15039,1.44414,0.0006634,0.0006634,0.0006634
19,2358.91,0.64291,1.4063,1.20473,0.74521,0.64167,0.80515,0.66419,0.7442,1.98707,1.32783,0.0006436,0.0006436,0.0006436
20,2483.66,0.67274,1.42196,1.2142,0.78729,0.68582,0.8025,0.63402,0.73151,2.01125,1.32689,0.0006238,0.0006238,0.0006238
21,2608.07,0.64684,1.36182,1.18757,0.96205,0.6314,0.76813,0.59395,0.77421,2.10055,1.4525,0.000604,0.000604,0.000604
