epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,707.655,1.86387,10.9218,2.28198,0.22871,0.1131,0.09667,0.08912,0.78608,78.7703,1.48415,0.00012,0.00012,0.00012
2,1245.74,1.24804,3.77452,1.56577,0.59346,0.26909,0.23765,0.17003,0.71028,10.7742,1.40856,0.00024505,0.00024505,0.00024505
3,1953.25,1.07229,3.23577,1.54461,0.50191,0.37302,0.3313,0.25946,0.78148,8.58813,1.46855,0.000364952,0.000364952,0.000364952
4,2548.15,1.18837,2.84063,1.4879,0.58179,0.57837,0.53854,0.41317,0.68747,7.21899,1.41187,0.000479706,0.000479706,0.000479706
5,3063.1,1.16802,2.28834,1.5544,0.41198,0.41127,0.39712,0.28892,0.90877,5.77034,1.67179,0.000589312,0.000589312,0.000589312
6,3444.35,1.34285,2.50224,1.44563,0.56069,0.54144,0.43616,0.33888,0.83509,15.5462,1.69419,0.00069377,0.00069377,0.00069377
7,3909.12,1.17974,2.38725,1.51133,0.10581,0.37401,0.05276,0.02295,1.49329,74.3709,2.78554,0.00079308,0.00079308,0.00079308
8,4484.34,1.19115,2.20764,1.45186,0.50136,0.29762,0.22879,0.08637,2.15913,6.65592,2.9869,0.0008614,0.0008614,0.0008614
9,4849.99,1.30926,2.29772,1.36734,0.20595,0.57762,0.44332,0.25759,1.34559,27.3236,2.28678,0.0008416,0.0008416,0.0008416
10,5333.26,1.14538,2.02743,1.52428,0.248,0.48243,0.26407,0.10415,1.72385,135.667,3.58974,0.0008218,0.0008218,0.0008218
11,5909.14,1.23638,2.05971,1.50157,0.63069,0.30506,0.39871,0.24103,0.91213,2.81674,1.67577,0.000802,0.000802,0.000802
12,6433.3,1.21691,2.02344,1.57427,0.58028,0.53953,0.61826,0.42358,0.92903,1.77186,1.75113,0.0007822,0.0007822,0.0007822
13,7241.58,1.36763,2.14663,1.68493,0.67259,0.55492,0.62283,0.50872,0.72587,2.14965,1.46458,0.0007624,0.0007624,0.0007624
14,7822.91,1.14813,1.82465,1.56967,0.71129,0.65384,0.71699,0.52419,0.71972,1.75443,1.47527,0.0007426,0.0007426,0.0007426
15,8510.88,1.00905,1.64653,1.42346,0.86162,0.58644,0.75712,0.57139,0.72202,1.81735,1.44646,0.0007228,0.0007228,0.0007228
16,9237.85,1.07003,1.6708,1.45633,0.8923,0.58462,0.6574,0.54037,0.7767,1.37027,1.37697,0.000703,0.000703,0.000703
17,9870.69,0.94643,1.52436,1.43296,0.83379,0.53633,0.63873,0.55005,0.79153,1.24075,1.33515,0.0006832,0.0006832,0.0006832
18,10639.7,1.13777,1.72552,1.54269,0.78258,0.67333,0.71903,0.54574,0.87671,1.3022,1.49709,0.0006634,0.0006634,0.0006634
19,11252.4,1.0983,1.742,1.4219,0.81196,0.60571,0.70663,0.55201,0.66443,1.56779,1.29172,0.0006436,0.0006436,0.0006436
20,11708.8,1.02368,1.53845,1.33113,0.87666,0.60215,0.69644,0.57847,0.73787,1.35292,1.40499,0.0006238,0.0006238,0.0006238
21,12427.9,1.08025,1.6412,1.50938,0.81931,0.61414,0.69119,0.55981,0.58963,1.3245,1.24359,0.000604,0.000604,0.000604
22,12943.2,1.06798,1.56174,1.35469,0.77966,0.68805,0.74602,0.56937,0.65237,1.42566,1.37398,0.0005842,0.0005842,0.0005842
23,13291.6,1.08523,1.55322,1.31256,0.82372,0.60073,0.68735,0.53476,0.79526,1.51134,1.46529,0.0005644,0.0005644,0.0005644
24,13857.6,0.94832,1.29884,1.29304,0.83885,0.60744,0.70562,0.55474,0.57758,1.18411,1.26013,0.0005446,0.0005446,0.0005446
25,14428.2,0.89197,1.41156,1.3584,0.94302,0.63334,0.77561,0.60347,0.56229,1.08764,1.23431,0.0005248,0.0005248,0.0005248
26,14804,1.01815,1.36896,1.38013,0.84076,0.68267,0.75663,0.62416,0.62772,1.25831,1.22961,0.000505,0.000505,0.000505
27,15150.4,0.93821,1.27319,1.31852,0.82744,0.72724,0.76723,0.60689,0.6262,0.9839,1.25082,0.0004852,0.0004852,0.0004852
28,15976,0.95379,1.4479,1.391,0.91096,0.72103,0.79138,0.6208,0.59581,0.88097,1.22114,0.0004654,0.0004654,0.0004654
29,16504.1,0.90054,1.23745,1.29487,0.88853,0.73807,0.78791,0.6246,0.63067,0.84821,1.25489,0.0004456,0.0004456,0.0004456
30,17034.8,0.84032,1.32353,1.32404,0.87187,0.66538,0.79679,0.61611,0.6776,0.93846,1.28047,0.0004258,0.0004258,0.0004258
31,17920.8,0.99724,1.37726,1.54416,0.86792,0.76001,0.81167,0.62939,0.68538,0.94128,1.23377,0.000406,0.000406,0.000406
32,18298.7,1.07108,1.3908,1.2263,0.78019,0.732,0.77253,0.63045,0.6068,0.8017,1.19845,0.0003862,0.0003862,0.0003862
33,18845.7,0.81882,1.17687,1.24819,0.92943,0.69368,0.80107,0.63068,0.52166,0.77389,1.13986,0.0003664,0.0003664,0.0003664
34,19438.3,0.86542,1.2046,1.30654,0.90111,0.76711,0.79894,0.6404,0.57195,0.78798,1.1627,0.0003466,0.0003466,0.0003466
35,20137.2,0.78273,1.16543,1.28173,0.92984,0.75232,0.79382,0.66297,0.51118,0.76877,1.14523,0.0003268,0.0003268,0.0003268
36,20639.6,0.77472,1.11263,1.2242,0.93884,0.78187,0.84405,0.70252,0.45311,0.68497,1.10149,0.000307,0.000307,0.000307
37,21170.9,0.95921,1.2177,1.29812,0.89726,0.77635,0.84051,0.68364,0.55615,0.73509,1.15836,0.0002872,0.0002872,0.0002872
38,21706,0.74494,1.09572,1.21985,0.92328,0.80551,0.86244,0.70781,0.54527,0.70831,1.1667,0.0002674,0.0002674,0.0002674
